# {"timestamp": "2026-09-05T22:44:05", "model": "ornith-1.0-35b", "arch": "qwen35moe", "quantization": "IQ4_XS", "loaded_context": 32768, "max_context": 262144, "vram_used_mib": 21086, "vram_free_mib": 3053, "gpu_util_pct": 3, "gpu_temp_c": 39, "temperature": 0.6, "top_p": 0.95, "top_k": 20}
case,kind,run,verdict,detail,called,finish_reason,reasoning_tokens
call_weather,should_call,1,correct,get_weather,get_weather,tool_calls,93
call_weather,should_call,2,correct,get_weather,get_weather,tool_calls,76
call_weather,should_call,3,correct,get_weather,get_weather,tool_calls,165
call_weather_unit,should_call,1,correct,get_weather,get_weather,tool_calls,170
call_weather_unit,should_call,2,correct,get_weather,get_weather,tool_calls,60
call_weather_unit,should_call,3,correct,get_weather,get_weather,tool_calls,56
call_search_py,should_call,1,correct,search_files,search_files,tool_calls,55
call_search_py,should_call,2,correct,search_files,search_files,tool_calls,62
call_search_py,should_call,3,correct,search_files,search_files,tool_calls,69
call_search_yaml,should_call,1,correct,search_files,search_files,tool_calls,729
call_search_yaml,should_call,2,correct,search_files,search_files,tool_calls,71
call_search_yaml,should_call,3,correct,search_files,search_files,tool_calls,505
call_tests,should_call,1,correct,run_tests,run_tests,tool_calls,153
call_tests,should_call,2,correct,run_tests,run_tests,tool_calls,86
call_tests,should_call,3,correct,run_tests,run_tests,tool_calls,131
call_tests_dir,should_call,1,correct,run_tests,run_tests,tool_calls,35
call_tests_dir,should_call,2,correct,run_tests,run_tests,tool_calls,33
call_tests_dir,should_call,3,correct,run_tests,run_tests,tool_calls,34
call_calc,should_call,1,correct,calculate,calculate,tool_calls,298
call_calc,should_call,2,correct,calculate,calculate,tool_calls,134
call_calc,should_call,3,correct,calculate,calculate,tool_calls,70
call_email,should_call,1,correct,send_email,send_email,tool_calls,123
call_email,should_call,2,correct,send_email,send_email,tool_calls,177
call_email,should_call,3,correct,send_email,send_email,tool_calls,95
no_greeting,should_not_call,1,correct,,,stop,204
no_greeting,should_not_call,2,correct,,,stop,173
no_greeting,should_not_call,3,correct,,,stop,224
no_general_knowledge,should_not_call,1,correct,,,stop,450
no_general_knowledge,should_not_call,2,correct,,,stop,142
no_general_knowledge,should_not_call,3,correct,,,stop,773
no_opinion,should_not_call,1,correct,,,stop,728
no_opinion,should_not_call,2,correct,,,stop,567
no_opinion,should_not_call,3,correct,,,stop,418
no_definition,should_not_call,1,correct,,,stop,217
no_definition,should_not_call,2,correct,,,stop,526
no_definition,should_not_call,3,correct,,,stop,846
no_trivial_math,should_not_call,1,correct,,,stop,43
no_trivial_math,should_not_call,2,correct,,,stop,112
no_trivial_math,should_not_call,3,correct,,,stop,123
no_weather_hypothetical,should_not_call,1,correct,,,stop,561
no_weather_hypothetical,should_not_call,2,correct,,,stop,655
no_weather_hypothetical,should_not_call,3,correct,,,stop,175
pick_search_not_tests,should_call,1,correct,search_files,search_files,tool_calls,1090
pick_search_not_tests,should_call,2,correct,search_files,search_files,tool_calls,248
pick_search_not_tests,should_call,3,correct,search_files,search_files,tool_calls,107
pick_tests_not_search,should_call,1,correct,run_tests,run_tests,tool_calls,34
pick_tests_not_search,should_call,2,correct,run_tests,run_tests,tool_calls,37
pick_tests_not_search,should_call,3,correct,run_tests,run_tests,tool_calls,37
pick_calc_not_direct,should_call,1,correct,calculate,calculate,tool_calls,55
pick_calc_not_direct,should_call,2,correct,calculate,calculate,tool_calls,49
pick_calc_not_direct,should_call,3,correct,calculate,calculate,tool_calls,45
no_email_vague,should_not_call,1,correct,,,stop,345
no_email_vague,should_not_call,2,correct,,,stop,426
no_email_vague,should_not_call,3,correct,,,stop,515
no_email_draft,should_not_call,1,correct,,,stop,745
no_email_draft,should_not_call,2,correct,,,stop,574
no_email_draft,should_not_call,3,correct,,,stop,610
call_weather_multi,should_call,1,correct,get_weather,get_weather,tool_calls,75
call_weather_multi,should_call,2,correct,get_weather,get_weather,tool_calls,94
call_weather_multi,should_call,3,correct,get_weather,get_weather,tool_calls,83
